Mode,NLC,ASC,Station,Coverage,Source,Mon-Thu Entries,Fri Entries,Sat Entries,Sun Entries,Mon-Thu Exits,Fri Exits,Sat Exits,Sun Exits,En/Ex
LO,788,CWRu,Canada Water,LO boarding / alighting,Scaled,24578,24571,24161,12311,23072,25542,26685,13052,11980069
LO,1441,CNNr,Canonbury,Station entry / exit,Gateline,3693,4039,3604,2441,3408,3498,3286,2450,1803938
LO,1442,CPKr,Carpenders Park,Station entry / exit,Gateline,1665,1688,1219,707,1632,1626,1138,718,766704
LO,6814,CHNr,Cheshunt,LO boarding / alighting,Scaled,549,570,592,528,680,698,868,827,340289
LO,6914,CHIr,Chingford,Station entry / exit,Gateline,2742,2644,2266,1416,2622,2514,2134,1410,1279317
LO,5301,CLPr,Clapham High Street,Station entry / exit,Manual Count,2272,2601,2277,1492,2426,3001,2650,1769,1231647
LO,5595,CLJr,Clapham Junction,LO boarding / alighting,Loadweigh,21190,21132,22223,18492,18674,18320,20588,15935,10438622
LO,6926,CPTr,Clapton,Station entry / exit,Scaled,2529,2486,2245,1505,2202,2166,1905,1391,1157488
LO,7406,CRHr,Crouch Hill,Station entry / exit,Scaled,1472,1527,1321,691,1526,1579,1339,785,727117
LO,5356,CYPr,Crystal Palace,LO boarding / alighting,Loadweigh,3001,2889,3436,2830,3375,2940,3499,3005,1667100
LO,1443,DLJr,Dalston Junction,Station entry / exit,Gateline,6142,7083,6721,4427,5963,7079,6892,4366,3212644
LO,1429,DLKr,Dalston Kingsland,Station entry / exit,Gateline,7883,8757,8453,5187,7678,8624,8605,5243,4048993
LO,5421,DMKr,Denmark Hill,LO boarding / alighting,Scaled,9502,9718,5357,4739,9859,10144,5498,4749,4447266
LO,6941,EDRr,Edmonton Green,LO boarding / alighting,Scaled,4761,4724,4096,2968,4959,4952,3701,2814,2348713
LO,7473,EMPr,Emerson Park,Station entry / exit,Manual Count,519,479,257,102,340,329,162,102,183964
LO,6959,ENFr,Enfield Town,Station entry / exit,Gateline,3163,3199,2324,1874,2886,2829,1921,1684,1437473
LO,1444,EUSr,Euston NR,LO boarding / alighting,Scale_earlier,3533,3421,4220,2517,4600,4668,5793,2829,2116277
LO,1445,FNYr,Finchley Road & Frognal,Station entry / exit,Scaled,3026,3122,1724,1381,3282,3382,1946,1465,1445981
LO,5362,FOHr,Forest Hill,LO boarding / alighting,Scaled,3329,3421,3123,2408,3428,3527,3050,2455,1701565
LO,1409,GPOr,Gospel Oak,Station entry / exit,Gateline,3776,3916,3069,2219,3563,3610,2736,2124,1777739
LO,591,GUNu,Gunnersbury,LO boarding / alighting,Scaled,1775,1721,1870,1829,2088,1999,1899,1010,974571
LO,6977,HKCr,Hackney Central,Station entry / exit,Gateline,7464,8554,7945,4798,7385,8648,8216,4901,3873150
LO,6867,HACr,Hackney Downs,LO boarding / alighting,Scaled,4173,4042,4439,2331,4361,4459,4547,2341,2128124
LO,6978,HKWr,Hackney Wick,Station entry / exit,Scaled,4158,4229,4156,2447,3755,4284,4476,2578,2034502
LO,1022,HGGr,Haggerston,Station entry / exit,Issue,3426,3834,3747,2385,3458,4041,4108,2375,1815479
LO,1413,HDHr,Hampstead Heath,Station entry / exit,Gateline,4720,4578,3710,3017,4506,4401,3718,3093,2246249
LO,596,HARu,Harlesden,LO boarding / alighting,Scaled,1774,1733,1325,620,1556,1520,961,938,771702
LO,7401,HRYr,Harringay Green Lanes,Station entry / exit,Scaled,1827,1750,1926,1241,2045,1997,1967,1466,976641
LO,597,HAWu,Harrow & Wealdstone,LO boarding / alighting,Scaled,3221,3171,2971,2353,4040,3982,3187,3046,1805246
LO,1398,HTEr,Hatch End,Station entry / exit,Gateline,958,992,697,408,926,962,706,430,443478
LO,1434,HDLr,Headstone Lane,Station entry / exit,Manual Count,877,915,512,397,795,778,457,437,384932
LO,6919,HIPr,Highams Park,Station entry / exit,Gateline,3924,3811,2814,1651,3610,3430,2463,1604,1735398
LO,603,HBYu,Highbury & Islington,LO boarding / alighting,Scaled,25792,23029,23730,16297,25895,19473,22374,13523,12291964
LO,6979,HMNr,Homerton,Station entry / exit,Gateline,6429,6708,5549,3494,5989,5845,4821,3386,3004286
LO,5418,HPAr,Honor Oak Park,Station entry / exit,Gateline,3532,3482,2936,1892,3321,3087,2663,1922,1640297
LO,1023,HOXr,Hoxton,Station entry / exit,Gateline,3809,3875,3207,2733,3881,4162,3629,3211,1949719
LO,9586,IMWr,Imperial Wharf,Station entry / exit,Gateline,4793,4736,2749,1721,4457,4337,2482,1505,2061276
LO,617,KGNu,Kensal Green,LO boarding / alighting,Scaled,784,793,676,496,975,954,858,714,435842
LO,1448,KNRr,Kensal Rise,Station entry / exit,Manual Count,4598,3854,3868,2397,4364,3457,3635,2375,2095470
LO,618,OLYu,Kensington (Olympia),LO boarding / alighting,Scaled,3614,3103,1192,1185,4055,3288,1272,1292,1587992
LO,1449,KTWr,Kentish Town West,Station entry / exit,Manual Count,3211,3884,2808,1972,3228,3883,2812,1987,1629280
LO,620,KETu,Kenton,LO boarding / alighting,Scaled,989,929,516,494,1287,1219,465,416,496919
LO,621,KEWu,Kew Gardens,LO boarding / alighting,Scaled,1906,1787,1578,1361,1717,1619,1548,1072,886683
LO,1415,KBNr,Kilburn High Road,Station entry / exit,Gateline,1102,1195,928,677,1085,1133,856,723,539192
LO,7402,LEMr,Leyton Midland Road,Station entry / exit,Gateline,2137,2145,1678,962,2113,2069,1543,981,997076
LO,7403,LERr,Leytonstone High Road,Station entry / exit,Gateline,1556,1613,1266,757,1462,1523,1142,707,721287
LO,6965,LSTr,Liverpool Street NR,LO boarding / alighting,Manual Count,13227,12187,9832,6799,13209,12555,10535,6617,6209630
LO,6966,LOFr,London Fields,Station entry / exit,Scaled,2254,2264,2193,1594,2331,2341,2620,2080,1188188
LO,5150,NWXr,New Cross,LO boarding / alighting,Loadweigh,3054,3124,2970,2030,3056,2908,2897,2184,1532792
LO,5345,NXGr,New Cross Gate,LO boarding / alighting,Scaled,5157,5365,5076,2994,6095,5830,4598,3218,2724966
LO,659,NWBu,North Wembley,LO boarding / alighting,Scaled,717,710,439,317,656,654,392,316,314603
LO,5376,NWDr,Norwood Junction,LO boarding / alighting,Scaled,1976,1916,1468,1021,1801,1766,1302,879,886919
LO,5423,PMRr,Peckham Rye,LO boarding / alighting,Scaled,3826,3945,4288,3131,4716,4943,4950,3879,2241738
LO,5378,PNWr,Penge West,Station entry / exit,Manual Count,1164,1266,1186,757,1105,1162,999,710,572881
LO,680,QPKu,Queen's Park,LO boarding / alighting,Scaled,2240,2237,1969,1539,2239,2206,1708,1631,1104025
LO,5424,QRPr,Queens Road Peckham,Station entry / exit,Scaled,2352,1919,2411,1675,2311,1867,2373,1753,1158467
LO,6967,RECr,Rectory Road,Station entry / exit,Manual Count,1965,1688,1465,1034,1762,1560,1284,1073,869834
LO,686,RMDu,Richmond,LO boarding / alighting,Loadweigh,4386,4333,4621,5013,4514,4646,4780,5425,2434923
LO,6886,RMFr,Romford,LO boarding / alighting,Scaled,863,856,435,297,1003,1023,591,283,413924
LO,1039,ROEr,Rotherhithe,Station entry / exit,Gateline,1796,1944,1708,1205,1610,1666,1455,1157,860347
LO,698,SVSu,Seven Sisters,LO boarding / alighting,Manual Count,10750,11372,9463,7066,9936,10175,8477,6475,5132396
LO,1082,SDEr,Shadwell LO,Station entry / exit,Gateline,5279,5733,5079,3423,5403,5703,4754,3442,2678672
